samplename,key,value
20180123T0135-KUM-Otomi-Bottom,lat_lon,35.54166667 135.56250000
20180123T0135-KUM-Otomi-Bottom,samp_taxon_id,metagenome
20180123T0135-KUM-Otomi-Bottom,samp_mat_process,"filtering water, adding RNAlater to the filter, storing in freezer"
20180123T0135-KUM-Otomi-Bottom,collection_date,2018-01-23T10:35:00+09:00
20180123T0135-KUM-Otomi-Bottom,collection_date_local,2018-01-23T10:35:00+09:00
20180123T0135-KUM-Otomi-Bottom,collection_date_utc,2018-01-23T01:35:00Z
20180123T0135-KUM-Otomi-Bottom,samp_size,1000
20180123T0135-KUM-Otomi-Bottom,size_frac_low,0.45
20180123T0135-KUM-Otomi-Bottom,num_filter,1
20180123T0135-KUM-Otomi-Bottom,filter_prod_name,Sterivex-HV
20180123T0135-KUM-Otomi-Bottom,samp_store_temp,-20
20180123T0135-KUM-Otomi-Bottom,samp_store_sol,RNAlater
20180314T0045-KUM-Otomi-Surface,samp_name,20180314T0045-KUM-Otomi-Surface
20180314T0045-KUM-Otomi-Surface,project_name,ANEMONE 2019KibanS
20180314T0045-KUM-Otomi-Surface,correspondence,Reiji Masuda
20180314T0045-KUM-Otomi-Surface,worldmesh,20533524
20180314T0045-KUM-Otomi-Surface,lat_lon,35.54166667 135.56250000
20180314T0045-KUM-Otomi-Surface,samp_taxon_id,metagenome
20180314T0045-KUM-Otomi-Surface,samp_mat_process,"filtering water, adding RNAlater to the filter, storing in freezer"
20180314T0045-KUM-Otomi-Surface,collection_date,2018-03-14T9:45:00+09:00
20180314T0045-KUM-Otomi-Surface,collection_date_local,2018-03-14T9:45:00+09:00
20180314T0045-KUM-Otomi-Surface,collection_date_utc,2018-03-14T00:45:00Z
20180314T0045-KUM-Otomi-Surface,samp_size,1000
20180314T0045-KUM-Otomi-Surface,size_frac_low,0.45
20180314T0045-KUM-Otomi-Surface,num_filter,1
20180314T0045-KUM-Otomi-Surface,filter_prod_name,Sterivex-HV
20180314T0045-KUM-Otomi-Surface,samp_store_temp,-20
20180314T0045-KUM-Otomi-Surface,samp_store_sol,RNAlater
20180314T0200-KUM-Otomi-Bottom,samp_name,20180314T0200-KUM-Otomi-Bottom
20180314T0200-KUM-Otomi-Bottom,project_name,ANEMONE 2019KibanS
20180314T0200-KUM-Otomi-Bottom,correspondence,Reiji Masuda
20180314T0200-KUM-Otomi-Bottom,worldmesh,20533524
20180314T0200-KUM-Otomi-Bottom,lat_lon,35.54166667 135.56250000
20180314T0200-KUM-Otomi-Bottom,samp_taxon_id,metagenome
20180314T0200-KUM-Otomi-Bottom,samp_mat_process,"filtering water, adding RNAlater to the filter, storing in freezer"
20180314T0200-KUM-Otomi-Bottom,collection_date,2018-03-14T11:00:00+09:00
20180314T0200-KUM-Otomi-Bottom,collection_date_local,2018-03-14T11:00:00+09:00
20180314T0200-KUM-Otomi-Bottom,collection_date_utc,2018-03-14T02:00:00Z
20180314T0200-KUM-Otomi-Bottom,samp_size,1000
20180314T0200-KUM-Otomi-Bottom,size_frac_low,0.45
20180314T0200-KUM-Otomi-Bottom,num_filter,1
20180314T0200-KUM-Otomi-Bottom,filter_prod_name,Sterivex-HV
20180314T0200-KUM-Otomi-Bottom,samp_store_temp,-20
20180314T0200-KUM-Otomi-Bottom,samp_store_sol,RNAlater
20180427T0040-KUM-Otomi-Surface,samp_name,20180427T0040-KUM-Otomi-Surface
20180427T0040-KUM-Otomi-Surface,project_name,ANEMONE 2019KibanS
20180427T0040-KUM-Otomi-Surface,correspondence,Reiji Masuda
20180427T0040-KUM-Otomi-Surface,worldmesh,20533524
20180427T0040-KUM-Otomi-Surface,lat_lon,35.54166667 135.56250000
20180427T0040-KUM-Otomi-Surface,samp_taxon_id,metagenome
20180427T0040-KUM-Otomi-Surface,samp_mat_process,"filtering water, adding RNAlater to the filter, storing in freezer"
20180427T0040-KUM-Otomi-Surface,collection_date,2018-04-27T9:40:00+09:00
20180427T0040-KUM-Otomi-Surface,collection_date_local,2018-04-27T9:40:00+09:00
20180427T0040-KUM-Otomi-Surface,collection_date_utc,2018-04-27T00:40:00Z
20180427T0040-KUM-Otomi-Surface,samp_size,1000
20180427T0040-KUM-Otomi-Surface,size_frac_low,0.45
20180427T0040-KUM-Otomi-Surface,num_filter,1
20180427T0040-KUM-Otomi-Surface,filter_prod_name,Sterivex-HV
20180427T0040-KUM-Otomi-Surface,samp_store_temp,-20
20180427T0040-KUM-Otomi-Surface,samp_store_sol,RNAlater
20180427T0205-KUM-Otomi-Bottom,samp_name,20180427T0205-KUM-Otomi-Bottom
20180427T0205-KUM-Otomi-Bottom,project_name,ANEMONE 2019KibanS
20180427T0205-KUM-Otomi-Bottom,correspondence,Reiji Masuda
20180427T0205-KUM-Otomi-Bottom,worldmesh,20533524
20180427T0205-KUM-Otomi-Bottom,lat_lon,35.54166667 135.56250000
20180427T0205-KUM-Otomi-Bottom,samp_taxon_id,metagenome
20180427T0205-KUM-Otomi-Bottom,samp_mat_process,"filtering water, adding RNAlater to the filter, storing in freezer"
20180427T0205-KUM-Otomi-Bottom,collection_date,2018-04-27T11:05:00+09:00
20180427T0205-KUM-Otomi-Bottom,collection_date_local,2018-04-27T11:05:00+09:00
20180427T0205-KUM-Otomi-Bottom,collection_date_utc,2018-04-27T02:05:00Z
20180427T0205-KUM-Otomi-Bottom,samp_size,1000
20180427T0205-KUM-Otomi-Bottom,size_frac_low,0.45
20180427T0205-KUM-Otomi-Bottom,num_filter,1
20180427T0205-KUM-Otomi-Bottom,filter_prod_name,Sterivex-HV
20180427T0205-KUM-Otomi-Bottom,samp_store_temp,-20
20180427T0205-KUM-Otomi-Bottom,samp_store_sol,RNAlater
20180902T0105-KUM-Otomi-Surface,samp_name,20180902T0105-KUM-Otomi-Surface
20180902T0105-KUM-Otomi-Surface,project_name,ANEMONE 2019KibanS
20180902T0105-KUM-Otomi-Surface,correspondence,Reiji Masuda
20180902T0105-KUM-Otomi-Surface,worldmesh,20533524
20180902T0105-KUM-Otomi-Surface,lat_lon,35.54166667 135.56250000
20180902T0105-KUM-Otomi-Surface,samp_taxon_id,metagenome
20180902T0105-KUM-Otomi-Surface,samp_mat_process,"filtering water, adding RNAlater to the filter, storing in freezer"
20180902T0105-KUM-Otomi-Surface,collection_date,2018-09-02T10:05:00+09:00
20180902T0105-KUM-Otomi-Surface,collection_date_local,2018-09-02T10:05:00+09:00
20180902T0105-KUM-Otomi-Surface,collection_date_utc,2018-09-02T01:05:00Z
20180902T0105-KUM-Otomi-Surface,samp_size,1000
20180902T0105-KUM-Otomi-Surface,size_frac_low,0.45
20180902T0105-KUM-Otomi-Surface,num_filter,1
20180902T0105-KUM-Otomi-Surface,filter_prod_name,Sterivex-HV
20180902T0105-KUM-Otomi-Surface,samp_store_temp,-20
20180902T0105-KUM-Otomi-Surface,samp_store_sol,RNAlater
20180902T0220-KUM-Otomi-Bottom,samp_name,20180902T0220-KUM-Otomi-Bottom
20180902T0220-KUM-Otomi-Bottom,project_name,ANEMONE 2019KibanS
20180902T0220-KUM-Otomi-Bottom,correspondence,Reiji Masuda
20180902T0220-KUM-Otomi-Bottom,worldmesh,20533524
20180902T0220-KUM-Otomi-Bottom,lat_lon,35.54166667 135.56250000
20180902T0220-KUM-Otomi-Bottom,samp_taxon_id,metagenome
20180902T0220-KUM-Otomi-Bottom,samp_mat_process,"filtering water, adding RNAlater to the filter, storing in freezer"
20180902T0220-KUM-Otomi-Bottom,collection_date,2018-09-02T11:20:00+09:00
20180902T0220-KUM-Otomi-Bottom,collection_date_local,2018-09-02T11:20:00+09:00
20180902T0220-KUM-Otomi-Bottom,collection_date_utc,2018-09-02T02:20:00Z
20180902T0220-KUM-Otomi-Bottom,samp_size,1000
20180902T0220-KUM-Otomi-Bottom,size_frac_low,0.45
20180902T0220-KUM-Otomi-Bottom,num_filter,1
20180902T0220-KUM-Otomi-Bottom,filter_prod_name,Sterivex-HV
20180902T0220-KUM-Otomi-Bottom,samp_store_temp,-20
20180902T0220-KUM-Otomi-Bottom,samp_store_sol,RNAlater
20180902T0220-KUM-Otomi-NC,samp_name,20180902T0220-KUM-Otomi-NC
20180902T0220-KUM-Otomi-NC,project_name,ANEMONE 2019KibanS
20180902T0220-KUM-Otomi-NC,correspondence,Reiji Masuda
20180902T0220-KUM-Otomi-NC,samp_taxon_id,blank sample
20180902T0220-KUM-Otomi-NC,samp_collec_device,bucket
20180902T0220-KUM-Otomi-NC,samp_mat_process,"filtering water, adding RNAlater to the filter, storing in freezer"
20180902T0220-KUM-Otomi-NC,collection_date,2018-09-02T11:20:00+09:00
20180902T0220-KUM-Otomi-NC,collection_date_local,2018-09-02T11:20:00+09:00
20180902T0220-KUM-Otomi-NC,collection_date_utc,2018-09-02T02:20:00Z
20180902T0220-KUM-Otomi-NC,samp_size,500
20180902T0220-KUM-Otomi-NC,size_frac_low,0.45
20180902T0220-KUM-Otomi-NC,num_filter,1
20180902T0220-KUM-Otomi-NC,filter_prod_name,Sterivex-HV
20180902T0220-KUM-Otomi-NC,samp_store_temp,-20
20180902T0220-KUM-Otomi-NC,samp_store_sol,RNAlater
20190204T0115-KUM-Nagahama,samp_name,20190204T0115-KUM-Nagahama
20190204T0115-KUM-Nagahama,project_name,ANEMONE 2019KibanS
20190204T0115-KUM-Nagahama,correspondence,Reiji Masuda
20190204T0115-KUM-Nagahama,worldmesh,20533512
20190204T0115-KUM-Nagahama,lat_lon,35.45833333 135.31250000
20190204T0115-KUM-Nagahama,samp_taxon_id,metagenome
20190204T0115-KUM-Nagahama,samp_mat_process,"filtering water, adding RNAlater to the filter, storing in freezer"
20190204T0115-KUM-Nagahama,collection_date,2019-02-04T10:15:00+09:00
20190204T0115-KUM-Nagahama,collection_date_local,2019-02-04T10:15:00+09:00
20190204T0115-KUM-Nagahama,collection_date_utc,2019-02-04T01:15:00Z
20190204T0115-KUM-Nagahama,samp_size,2000
20190204T0115-KUM-Nagahama,size_frac_low,0.45
20190204T0115-KUM-Nagahama,num_filter,2
20190204T0115-KUM-Nagahama,filter_prod_name,Sterivex-HV
20190204T0115-KUM-Nagahama,samp_store_temp,-20
20190204T0115-KUM-Nagahama,samp_store_sol,RNAlater
20190207T0100-KUM-Nagahama,samp_name,20190207T0100-KUM-Nagahama
20190207T0100-KUM-Nagahama,project_name,ANEMONE 2019KibanS
20190207T0100-KUM-Nagahama,correspondence,Reiji Masuda
20190207T0100-KUM-Nagahama,worldmesh,20533512
20190207T0100-KUM-Nagahama,lat_lon,35.45833333 135.31250000
20190207T0100-KUM-Nagahama,samp_taxon_id,metagenome
20190207T0100-KUM-Nagahama,samp_mat_process,"filtering water, adding RNAlater to the filter, storing in freezer"
20190207T0100-KUM-Nagahama,collection_date,2019-02-07T10:00:00+09:00
20190207T0100-KUM-Nagahama,collection_date_local,2019-02-07T10:00:00+09:00
20190207T0100-KUM-Nagahama,collection_date_utc,2019-02-07T01:00:00Z
20190207T0100-KUM-Nagahama,samp_size,1200
20190207T0100-KUM-Nagahama,size_frac_low,0.45
20190207T0100-KUM-Nagahama,num_filter,2
20190207T0100-KUM-Nagahama,filter_prod_name,Sterivex-HV
20190207T0100-KUM-Nagahama,samp_store_temp,-20
20190207T0100-KUM-Nagahama,samp_store_sol,RNAlater
20190215T0013-HUF-Nanaehama,samp_name,20190215T0013-HUF-Nanaehama
20190215T0013-HUF-Nanaehama,project_name,ANEMONE 2019KibanS
20190215T0013-HUF-Nanaehama,correspondence,Akihide Kasai
20190215T0013-HUF-Nanaehama,worldmesh,20624055
20190215T0013-HUF-Nanaehama,lat_lon,41.79166667 140.68750000
20190215T0013-HUF-Nanaehama,samp_taxon_id,metagenome
20190215T0013-HUF-Nanaehama,samp_mat_process,"filtering water, adding RNAlater to the filter, storing in freezer"
20190215T0013-HUF-Nanaehama,collection_date,2019-02-15T9:13:00+09:00
20190215T0013-HUF-Nanaehama,collection_date_local,2019-02-15T9:13:00+09:00
20190215T0013-HUF-Nanaehama,collection_date_utc,2019-02-15T00:13:00Z
20190215T0013-HUF-Nanaehama,samp_size,2000
20190215T0013-HUF-Nanaehama,size_frac_low,0.45
20190215T0013-HUF-Nanaehama,num_filter,2
20190215T0013-HUF-Nanaehama,filter_prod_name,Sterivex-HV
20190215T0013-HUF-Nanaehama,samp_store_temp,-20
20190215T0013-HUF-Nanaehama,samp_store_sol,RNAlater
20190215T0013-HUF-Nanaehama-NC,samp_name,20190215T0013-HUF-Nanaehama-NC
20190215T0013-HUF-Nanaehama-NC,project_name,ANEMONE 2019KibanS
20190215T0013-HUF-Nanaehama-NC,correspondence,Akihide Kasai
20190215T0013-HUF-Nanaehama-NC,samp_taxon_id,blank sample
20190215T0013-HUF-Nanaehama-NC,samp_collec_device,bucket
20190215T0013-HUF-Nanaehama-NC,samp_mat_process,"filtering water, adding RNAlater to the filter, storing in freezer"
20190215T0013-HUF-Nanaehama-NC,collection_date,2019-02-15T9:13:00+09:00
20190215T0013-HUF-Nanaehama-NC,collection_date_local,2019-02-15T9:13:00+09:00
20190215T0013-HUF-Nanaehama-NC,collection_date_utc,2019-02-15T00:13:00Z
20190215T0013-HUF-Nanaehama-NC,temp,3.8
20190215T0013-HUF-Nanaehama-NC,salinity,35.20
20190215T0013-HUF-Nanaehama-NC,samp_size,500
20190215T0013-HUF-Nanaehama-NC,size_frac_low,0.45
20190215T0013-HUF-Nanaehama-NC,num_filter,1
20190215T0013-HUF-Nanaehama-NC,filter_prod_name,Sterivex-HV
20190215T0013-HUF-Nanaehama-NC,samp_store_temp,-20
20190215T0013-HUF-Nanaehama-NC,samp_store_sol,RNAlater
20190215T0455-HUF-MutsuSekine,samp_name,20190215T0455-HUF-MutsuSekine
20190215T0455-HUF-MutsuSekine,project_name,ANEMONE 2019KibanS
20190215T0455-HUF-MutsuSekine,correspondence,Akihide Kasai
20190215T0455-HUF-MutsuSekine,worldmesh,20624101
20190215T0455-HUF-MutsuSekine,lat_lon,41.37500000 141.18750000
20190215T0455-HUF-MutsuSekine,samp_taxon_id,metagenome
20190215T0455-HUF-MutsuSekine,samp_mat_process,"filtering water, adding RNAlater to the filter, storing in freezer"
20190215T0455-HUF-MutsuSekine,collection_date,2019-02-15T13:55:00+09:00
20190215T0455-HUF-MutsuSekine,collection_date_local,2019-02-15T13:55:00+09:00
20190215T0455-HUF-MutsuSekine,collection_date_utc,2019-02-15T04:55:00Z
20190215T0455-HUF-MutsuSekine,samp_size,1000
20190215T0455-HUF-MutsuSekine,size_frac_low,0.45
20190215T0455-HUF-MutsuSekine,num_filter,1
20190215T0455-HUF-MutsuSekine,filter_prod_name,Sterivex-HV
20190215T0455-HUF-MutsuSekine,samp_store_temp,-20
20190215T0455-HUF-MutsuSekine,samp_store_sol,RNAlater
20190215T0455-HUF-MutsuSekine-NC,samp_name,20190215T0455-HUF-MutsuSekine-NC
20190215T0455-HUF-MutsuSekine-NC,project_name,ANEMONE 2019KibanS
20190215T0455-HUF-MutsuSekine-NC,correspondence,Akihide Kasai
20190215T0455-HUF-MutsuSekine-NC,samp_taxon_id,blank sample
20190215T0455-HUF-MutsuSekine-NC,samp_collec_device,bucket
20190215T0455-HUF-MutsuSekine-NC,samp_mat_process,"filtering water, adding RNAlater to the filter, storing in freezer"
20190215T0455-HUF-MutsuSekine-NC,collection_date,2019-02-15T13:55:00+09:00
20190215T0455-HUF-MutsuSekine-NC,collection_date_local,2019-02-15T13:55:00+09:00
20190215T0455-HUF-MutsuSekine-NC,collection_date_utc,2019-02-15T04:55:00Z
20190215T0455-HUF-MutsuSekine-NC,temp,7.9
20190215T0455-HUF-MutsuSekine-NC,salinity,33.69
20190215T0455-HUF-MutsuSekine-NC,samp_size,500
20190215T0455-HUF-MutsuSekine-NC,size_frac_low,0.45
20190215T0455-HUF-MutsuSekine-NC,num_filter,1
20190215T0455-HUF-MutsuSekine-NC,filter_prod_name,Sterivex-HV
20190215T0455-HUF-MutsuSekine-NC,samp_store_temp,-20
20190215T0455-HUF-MutsuSekine-NC,samp_store_sol,RNAlater
20190301T0020-HUF-Nanaehama,samp_name,20190301T0020-HUF-Nanaehama
20190301T0020-HUF-Nanaehama,project_name,ANEMONE 2019KibanS
20190301T0020-HUF-Nanaehama,correspondence,Akihide Kasai
20190301T0020-HUF-Nanaehama,worldmesh,20624055
20190301T0020-HUF-Nanaehama,lat_lon,41.79166667 140.68750000
20190301T0020-HUF-Nanaehama,samp_taxon_id,metagenome
20190301T0020-HUF-Nanaehama,samp_mat_process,"filtering water, adding RNAlater to the filter, storing in freezer"
20190301T0020-HUF-Nanaehama,collection_date,2019-03-01T9:20:00+09:00
20190301T0020-HUF-Nanaehama,collection_date_local,2019-03-01T9:20:00+09:00
20190301T0020-HUF-Nanaehama,collection_date_utc,2019-03-01T00:20:00Z
20190301T0020-HUF-Nanaehama,samp_size,2000
20190301T0020-HUF-Nanaehama,size_frac_low,0.45
20190301T0020-HUF-Nanaehama,num_filter,2
20190301T0020-HUF-Nanaehama,filter_prod_name,Sterivex-HV
20190301T0020-HUF-Nanaehama,samp_store_temp,-20
20190301T0020-HUF-Nanaehama,samp_store_sol,RNAlater
20190301T0020-HUF-Nanaehama-NC,samp_name,20190301T0020-HUF-Nanaehama-NC
20190301T0020-HUF-Nanaehama-NC,project_name,ANEMONE 2019KibanS
20190301T0020-HUF-Nanaehama-NC,correspondence,Akihide Kasai
20190301T0020-HUF-Nanaehama-NC,samp_taxon_id,blank sample
20190301T0020-HUF-Nanaehama-NC,samp_collec_device,bucket
20190301T0020-HUF-Nanaehama-NC,samp_mat_process,"filtering water, adding RNAlater to the filter, storing in freezer"
20190301T0020-HUF-Nanaehama-NC,collection_date,2019-03-01T9:20:00+09:00
20190301T0020-HUF-Nanaehama-NC,collection_date_local,2019-03-01T9:20:00+09:00
20190301T0020-HUF-Nanaehama-NC,collection_date_utc,2019-03-01T00:20:00Z
20190301T0020-HUF-Nanaehama-NC,temp,7.3
20190301T0020-HUF-Nanaehama-NC,salinity,34.00
20190301T0020-HUF-Nanaehama-NC,samp_size,500
20190301T0020-HUF-Nanaehama-NC,size_frac_low,0.45
20190301T0020-HUF-Nanaehama-NC,num_filter,1
20190301T0020-HUF-Nanaehama-NC,filter_prod_name,Sterivex-HV
20190301T0020-HUF-Nanaehama-NC,samp_store_temp,-20
20190301T0020-HUF-Nanaehama-NC,samp_store_sol,RNAlater
20190315T0025-HUF-Nanaehama,samp_name,20190315T0025-HUF-Nanaehama
20190315T0025-HUF-Nanaehama,project_name,ANEMONE 2019KibanS
20190315T0025-HUF-Nanaehama,correspondence,Akihide Kasai
20190315T0025-HUF-Nanaehama,worldmesh,20624055
20190315T0025-HUF-Nanaehama,lat_lon,41.79166667 140.68750000
20190315T0025-HUF-Nanaehama,samp_taxon_id,metagenome
20190315T0025-HUF-Nanaehama,samp_mat_process,"filtering water, adding RNAlater to the filter, storing in freezer"
20190315T0025-HUF-Nanaehama,collection_date,2019-03-15T9:25:00+09:00
20190315T0025-HUF-Nanaehama,collection_date_local,2019-03-15T9:25:00+09:00
20190315T0025-HUF-Nanaehama,collection_date_utc,2019-03-15T00:25:00Z
20190315T0025-HUF-Nanaehama,samp_size,2000
20190315T0025-HUF-Nanaehama,size_frac_low,0.45
20190315T0025-HUF-Nanaehama,num_filter,2
20190315T0025-HUF-Nanaehama,filter_prod_name,Sterivex-HV
20190315T0025-HUF-Nanaehama,samp_store_temp,-20
20190315T0025-HUF-Nanaehama,samp_store_sol,RNAlater
20190315T0025-HUF-Nanaehama-NC,samp_name,20190315T0025-HUF-Nanaehama-NC
20190315T0025-HUF-Nanaehama-NC,project_name,ANEMONE 2019KibanS
20190315T0025-HUF-Nanaehama-NC,correspondence,Akihide Kasai
20190315T0025-HUF-Nanaehama-NC,samp_taxon_id,blank sample
20190315T0025-HUF-Nanaehama-NC,samp_collec_device,bucket
20190315T0025-HUF-Nanaehama-NC,samp_mat_process,"filtering water, adding RNAlater to the filter, storing in freezer"
20190315T0025-HUF-Nanaehama-NC,collection_date,2019-03-15T9:25:00+09:00
20190315T0025-HUF-Nanaehama-NC,collection_date_local,2019-03-15T9:25:00+09:00
20190315T0025-HUF-Nanaehama-NC,collection_date_utc,2019-03-15T00:25:00Z
20190315T0025-HUF-Nanaehama-NC,temp,7.1
20190315T0025-HUF-Nanaehama-NC,salinity,32.70
20190315T0025-HUF-Nanaehama-NC,samp_size,500
20190315T0025-HUF-Nanaehama-NC,size_frac_low,0.45
20190315T0025-HUF-Nanaehama-NC,num_filter,1
20190315T0025-HUF-Nanaehama-NC,filter_prod_name,Sterivex-HV
20190315T0025-HUF-Nanaehama-NC,samp_store_temp,-20
20190315T0025-HUF-Nanaehama-NC,samp_store_sol,RNAlater
20190315T0155-HUF-MutsuSekine,samp_name,20190315T0155-HUF-MutsuSekine
20190315T0155-HUF-MutsuSekine,project_name,ANEMONE 2019KibanS
20190315T0155-HUF-MutsuSekine,correspondence,Akihide Kasai
20190315T0155-HUF-MutsuSekine,worldmesh,20624101
20190315T0155-HUF-MutsuSekine,lat_lon,41.37500000 141.18750000
20190315T0155-HUF-MutsuSekine,samp_taxon_id,metagenome
20190315T0155-HUF-MutsuSekine,samp_mat_process,"filtering water, adding RNAlater to the filter, storing in freezer"
20190315T0155-HUF-MutsuSekine,collection_date,2019-03-15T10:55:00+09:00
20190315T0155-HUF-MutsuSekine,collection_date_local,2019-03-15T10:55:00+09:00
20190315T0155-HUF-MutsuSekine,collection_date_utc,2019-03-15T01:55:00Z
20190315T0155-HUF-MutsuSekine,samp_size,1000
20190315T0155-HUF-MutsuSekine,size_frac_low,0.45
20190315T0155-HUF-MutsuSekine,num_filter,1
20190315T0155-HUF-MutsuSekine,filter_prod_name,Sterivex-HV
20190315T0155-HUF-MutsuSekine,samp_store_temp,-20
20190315T0155-HUF-MutsuSekine,samp_store_sol,RNAlater
20190315T0155-HUF-MutsuSekine-NC,samp_name,20190315T0155-HUF-MutsuSekine-NC
20190315T0155-HUF-MutsuSekine-NC,project_name,ANEMONE 2019KibanS
20190315T0155-HUF-MutsuSekine-NC,correspondence,Akihide Kasai
20190315T0155-HUF-MutsuSekine-NC,samp_taxon_id,blank sample
20190315T0155-HUF-MutsuSekine-NC,samp_collec_device,bucket
20190315T0155-HUF-MutsuSekine-NC,samp_mat_process,"filtering water, adding RNAlater to the filter, storing in freezer"
20190315T0155-HUF-MutsuSekine-NC,collection_date,2019-03-15T10:55:00+09:00
20190315T0155-HUF-MutsuSekine-NC,collection_date_local,2019-03-15T10:55:00+09:00
20190315T0155-HUF-MutsuSekine-NC,collection_date_utc,2019-03-15T01:55:00Z
20190315T0155-HUF-MutsuSekine-NC,temp,7.9
20190315T0155-HUF-MutsuSekine-NC,salinity,33.69
20190315T0155-HUF-MutsuSekine-NC,samp_size,500
20190315T0155-HUF-MutsuSekine-NC,size_frac_low,0.45
20190315T0155-HUF-MutsuSekine-NC,num_filter,1
20190315T0155-HUF-MutsuSekine-NC,filter_prod_name,Sterivex-HV
20190315T0155-HUF-MutsuSekine-NC,samp_store_temp,-20
20190315T0155-HUF-MutsuSekine-NC,samp_store_sol,RNAlater
20190322T0048-HUF-Nanaehama,samp_name,20190322T0048-HUF-Nanaehama
20190322T0048-HUF-Nanaehama,project_name,ANEMONE 2019KibanS
20190322T0048-HUF-Nanaehama,correspondence,Akihide Kasai
20190322T0048-HUF-Nanaehama,worldmesh,20624055
20190322T0048-HUF-Nanaehama,lat_lon,41.79166667 140.68750000
20190322T0048-HUF-Nanaehama,samp_taxon_id,metagenome
20190322T0048-HUF-Nanaehama,samp_mat_process,"filtering water, adding RNAlater to the filter, storing in freezer"
20190322T0048-HUF-Nanaehama,collection_date,2019-03-22T9:48:00+09:00
20190322T0048-HUF-Nanaehama,collection_date_local,2019-03-22T9:48:00+09:00
20190322T0048-HUF-Nanaehama,collection_date_utc,2019-03-22T00:48:00Z
